FrameNumber,Status,CentroidX,CentroidY,RectX,RectY,RectW,RectH
480,OK,632,425,552,379,140,73
481,OK,637,427,558,384,137,68
482,OK,645,428,565,385,138,68
483,OK,656,431,578,389,137,65
484,OK,666,433,590,390,134,66
485,OK,671,435,593,392,138,68
486,OK,676,436,594,393,144,71
487,OK,680,438,594,393,151,74
488,OK,688,443,597,394,154,89
489,OK,694,445,604,396,153,87
490,OK,699,447,609,397,153,86
491,OK,703,449,613,399,153,84
492,OK,707,450,616,402,155,81
493,OK,711,451,620,404,155,79
494,OK,713,452,623,403,155,80
495,OK,714,452,622,405,158,78
496,OK,715,452,625,408,157,75
497,OK,717,452,628,408,154,75
498,OK,720,453,636,409,144,74
